iteration,budget_used,pool_type,retriever,cf_strategy,k_max,labeled_pool_size,total_factuals,total_cfs,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
4,40,factuals_only,bge_large,-,20,76,76,0,0.8641509433962264,0.7882203114735331,0.8882492706517976,0.8160089777017526,0.7713729362933314
4,40,factuals_only,bge_large,-,20,76,76,0,0.8679245283018868,0.7900126333976774,0.8913875248887898,0.8164174744337788,0.7735281087071244
5,50,factuals_only,bge_large,-,20,86,86,0,0.8943396226415095,0.8109344302767862,0.916064439503004,0.8342569073083779,0.7953220388506543
5,50,factuals_only,bge_large,-,20,86,86,0,0.8905660377358491,0.8084398729473232,0.911989625033031,0.8318379258268964,0.7930898959935114
6,60,factuals_only,bge_large,-,20,96,96,0,0.9018867924528302,0.8133241514316719,0.9213297817348001,0.830472242540741,0.8017875560920336
6,60,factuals_only,bge_large,-,20,96,96,0,0.8981132075471698,0.8097585585278437,0.9174423903002388,0.8272042686845318,0.798498082407823
7,70,factuals_only,bge_large,-,20,106,106,0,0.9169811320754717,0.8162497372370914,0.9258350420762463,0.8254003733578804,0.8127978433591143
7,70,factuals_only,bge_large,-,20,106,106,0,0.9132075471698113,0.8158166168344587,0.9254258352887607,0.8281060010635082,0.8095083696749038
8,80,factuals_only,bge_large,-,20,116,116,0,0.9283018867924528,0.8272369315059522,0.9401740834058411,0.8379189744079449,0.8211649385943915
8,80,factuals_only,bge_large,-,20,116,116,0,0.9283018867924528,0.8272369315059522,0.9401740834058411,0.8379189744079449,0.8211649385943915
9,90,factuals_only,bge_large,-,20,126,126,0,0.9509433962264151,0.838896039617584,0.9552933077230619,0.8438632847879282,0.836983153160262
9,90,factuals_only,bge_large,-,20,126,126,0,0.9433962264150944,0.8316366522750608,0.9480013257916701,0.838695734813393,0.8302397321076305
10,100,factuals_only,bge_large,-,20,136,136,0,0.9660377358490566,0.9057568867532784,0.967268407239359,0.9079007227987737,0.9054317578053078
10,100,factuals_only,bge_large,-,20,136,136,0,0.9660377358490566,0.9057568867532784,0.967268407239359,0.9079007227987737,0.9054317578053078
11,110,factuals_only,bge_large,-,20,136,136,0,0.9660377358490566,0.9057568867532784,0.967268407239359,0.9079007227987737,0.9054317578053078
11,110,factuals_only,bge_large,-,20,136,136,0,0.9660377358490566,0.9057568867532784,0.967268407239359,0.9079007227987737,0.9054317578053078
1,10,full,bge_large,mixed,20,46,46,0,0.8452830188679246,0.726614481733259,0.8667855880142343,0.75679554886716,0.7110184450603022
2,20,full,bge_large,mixed,20,56,56,0,0.8452830188679246,0.7301682897847663,0.8718654519197933,0.7657839858351367,0.7094366358660363
3,30,full,bge_large,mixed,20,66,66,0,0.8566037735849057,0.7779962625834076,0.8811196235063347,0.8109319047498396,0.7588851183588112
4,40,full,bge_large,mixed,20,76,76,0,0.8641509433962264,0.7882203114735331,0.8882492706517976,0.8160089777017526,0.7713729362933314
5,50,full,bge_large,mixed,20,90,86,4,0.8943396226415095,0.8107200712993423,0.9159094529075954,0.8352398132912839,0.7943629595667667
6,60,full,bge_large,mixed,20,102,96,6,0.9132075471698113,0.8186643613999353,0.9295856516636236,0.8326682263814618,0.8097851198101746
7,70,full,bge_large,mixed,20,112,106,6,0.9245283018867925,0.8226152816982992,0.9361100752587472,0.8323034641988446,0.8180780157729075
8,80,full,bge_large,mixed,20,124,116,8,0.9320754716981132,0.831670257130958,0.9455121134370856,0.8457249092818946,0.8229026388232245
9,90,full,bge_large,mixed,20,134,126,8,0.9471698113207547,0.8351478916285258,0.9515152517848874,0.8391917665594246,0.8333066825720267
10,100,full,bge_large,mixed,20,145,136,9,0.9584905660377359,0.9001925960474783,0.9613147297995883,0.9041131410994273,0.8989662405639286
11,110,full,bge_large,mixed,20,145,136,9,0.9584905660377359,0.9001925960474783,0.9613147297995883,0.9041131410994273,0.8989662405639286
1,10,full,bge_large,factual_anchored,20,46,46,0,0.8415094339622642,0.7247861931978354,0.8644142165179697,0.7551121342425691,0.7089176047241679
2,20,full,bge_large,factual_anchored,20,56,56,0,0.8415094339622642,0.7281228636320709,0.8682038288596137,0.7633040276007028,0.7079887336561506
3,30,full,bge_large,factual_anchored,20,66,66,0,0.8641509433962264,0.7853767930258001,0.889133618668445,0.8175483408499713,0.7652789802513944
4,40,full,bge_large,factual_anchored,20,76,76,0,0.8641509433962264,0.788126568960847,0.8884083567181986,0.8160780888442334,0.7709653275976792
5,50,full,bge_large,factual_anchored,20,90,86,4,0.8905660377358491,0.807598700799923,0.912140250795089,0.8319930600445307,0.7912379595667668
6,60,full,bge_large,factual_anchored,20,102,96,6,0.9132075471698113,0.8186643613999353,0.9295856516636236,0.8326682263814618,0.8097851198101746
7,70,full,bge_large,factual_anchored,20,112,106,6,0.9245283018867925,0.8241396719422016,0.9379508483834597,0.8352796546750351,0.8180780157729075
8,80,full,bge_large,factual_anchored,20,124,116,8,0.9283018867924528,0.8282665240283946,0.9417592482838242,0.8417054346442134,0.8201852475188766
9,90,full,bge_large,factual_anchored,20,134,126,8,0.9471698113207547,0.8347095708930719,0.9515565613776199,0.8384507030885817,0.8333066825720267
10,100,full,bge_large,factual_anchored,20,145,136,9,0.9584905660377359,0.9001925960474783,0.9613147297995883,0.9041131410994273,0.8989662405639286
11,110,full,bge_large,factual_anchored,20,145,136,9,0.9584905660377359,0.9001925960474783,0.9613147297995883,0.9041131410994273,0.8989662405639286
